GEOID,pop,lon,lat
12035,95696,-81.29299466,29.47114974
12037,11549,-84.79796812,29.81074499
12039,46389,-84.61359933,30.57946891
12041,16939,-82.80036604,29.72582322
12043,12884,-81.18897951,26.95647504
12045,15863,-85.25759657,29.90846646
12047,14799,-82.94795915,30.49642668
12049,27731,-81.80992725,27.49270004
12051,39140,-81.16590065,26.55348942
12053,172778,-82.46848919,28.55617077
12055,98786,-81.34097114,27.34340323
12057,1229226,-82.3469222,27.90623107
12059,19927,-85.81410233,30.86789061
12061,138028,-80.57408967,27.6963909
12063,49746,-85.21545962,30.79539105
12065,14761,-83.90047448,30.42345821
12067,8870,-83.18106735,29.98551832
12069,297052,-81.7112988,28.76147095
12071,618754,-81.91545262,26.57568962
12073,275487,-84.27788135,30.45803866
12075,40801,-82.78861326,29.28220591
12077,8365,-84.88291116,30.24136315
12079,19224,-83.47012283,30.44414302
12081,322833,-82.35753356,27.47752978
12083,331298,-82.05666455,29.21020828
12085,146318,-80.39850988,27.08156581
12086,2496435,-80.49866676,25.60896824
12087,73090,-81.18569243,25.04678034
12089,73314,-81.77141792,30.61057809
12091,180822,-86.59217508,30.66502975
12093,39996,-80.88857596,27.38629197
12095,1145956,-81.32348217,28.51442163
12097,268685,-81.14947205,28.06265781
12099,1320134,-80.43650797,26.64756798
12101,464697,-82.43886733,28.30674108
12103,916542,-82.73955415,27.90267583
12105,602095,-81.69766763,27.94887509
12107,74364,-81.74430421,29.60863486
12109,190039,-81.40988734,29.91218436
12111,277789,-80.44554224,27.38081129
12113,151372,-87.01844942,30.69290383
12115,379448,-82.36498738,27.18250141
12117,422718,-81.23630374,28.71698154
12119,93420,-82.08099536,28.70482252
12121,41551,-82.99149237,30.19561174
12123,22570,-83.61897267,30.01956661
12125,15535,-82.37144172,30.04383886
12127,494593,-81.14857213,29.06345196
12129,30776,-84.3756072,30.1477727
12131,55043,-86.17151631,30.61846885
12133,24896,-85.66532872,30.61059233
13001,18236,-82.28898357,31.74928035
13003,8375,-82.87999307,31.29710827
13005,11096,-82.45268516,31.55367481
13007,3451,-84.44466948,31.32618392
13009,45720,-83.24983814,33.06895121
13011,18395,-83.49737174,34.35413352
13013,69367,-83.7127626,33.9931959
13015,100157,-84.84049896,34.23785504
13017,17634,-83.22045898,31.75978196
13019,19286,-83.22962202,31.27605991
13021,155547,-83.69775794,32.80658547
13023,13063,-83.32783883,32.43444145
13025,18411,-81.98189527,31.19687606
13027,16243,-83.58021191,30.84196773
13029,30233,-81.44247221,32.01322435
13031,70217,-81.74318181,32.39681398
13033,23316,-82.00078112,33.06115349
13035,23655,-83.95716948,33.28785074
13037,6694,-84.62450769,31.52919728
13039,50513,-81.63638914,30.92248993
13043,10998,-82.0736728,32.40344279
13045,110527,-85.07974251,33.58281651
13047,63942,-85.13824695,34.90365739
13049,12171,-82.13769128,30.78172324
13051,265128,-81.09242536,31.9740223
13053,11267,-84.78704957,32.34697163
13055,26015,-85.3452926,34.47501941
13057,214346,-84.47620003,34.24393309
13059,116714,-83.36733197,33.9511683
13061,3183,-84.98010294,31.62627554
